type,entry_time,entry_price,exit_time,exit_price,profit,profit_percent,capital_after_trade,duration_hours
long,2024-12-24 20:00:00,26.5552,2024-12-26 12:00:00,25.388,-2023403.3071203881,-4.395372657709216,44011448.90436302,40.0
short,2024-12-26 12:00:00,25.388,2024-12-29 04:00:00,26.036,-1123342.4803067285,-2.5523869544666757,42888106.42405629,64.0
long,2024-12-29 04:00:00,26.036,2024-12-30 00:00:00,25.12312,-1503752.288845927,-3.5062221539407017,41384354.135210365,20.0
short,2024-12-30 00:00:00,25.12312,2025-01-01 20:00:00,26.003280000000004,-1449853.8850129643,-3.503386522056192,39934500.250197396,68.0
long,2025-01-01 20:00:00,26.003280000000004,2025-01-07 20:00:00,28.2896,3511212.6859392794,8.792429262769911,43445712.93613668,144.0
short,2025-01-07 20:00:00,28.2896,2025-01-14 12:00:00,27.928,555326.6853439776,1.2782082461399216,44001039.62148066,160.0
long,2025-01-14 12:00:00,27.928,2025-01-20 00:00:00,28.653599999999997,1143195.157166507,2.5981094242337313,45144234.77864717,132.0
short,2025-01-20 00:00:00,28.653599999999997,2025-02-11 08:00:00,21.3064,11575638.724826073,25.64145517491693,56719873.503473245,536.0
long,2025-02-11 08:00:00,21.3064,2025-02-12 08:00:00,20.2584,-2789886.0169545235,-4.918709871212398,53929987.48651872,24.0
short,2025-02-12 08:00:00,20.2584,2025-02-12 12:00:00,20.486399999999996,-606959.9349862756,-1.1254590688306798,53323027.55153244,4.0
long,2025-02-12 12:00:00,20.486399999999996,2025-02-12 16:00:00,20.3448,-368563.56906517624,-0.6911902530459079,52954463.982467264,4.0
short,2025-02-12 16:00:00,20.3448,2025-02-12 20:00:00,20.916800000000002,-1488830.236619255,-2.8115292359718587,51465633.74584801,4.0
long,2025-02-12 20:00:00,20.916800000000002,2025-02-17 08:00:00,20.760800000000003,-383836.8614870452,-0.7458119788877782,51081796.88436096,108.0
short,2025-02-17 08:00:00,20.760800000000003,2025-03-02 16:00:00,16.9392,9403018.90935195,18.40776848676353,60484815.793712914,320.0
long,2025-03-02 16:00:00,16.9392,2025-03-04 04:00:00,15.248,-6038769.2730664555,-9.983942571077739,54446046.52064646,36.0
short,2025-03-04 04:00:00,15.248,2025-03-06 08:00:00,16.7008,-5187514.191054254,-9.527806925498435,49258532.329592206,52.0
long,2025-03-06 08:00:00,16.7008,2025-03-07 00:00:00,16.12,-1713053.0020733827,-3.477677716037555,47545479.32751882,16.0
short,2025-03-07 00:00:00,16.12,2025-03-15 00:00:00,13.7088,7111765.493456167,14.957816377171222,54657244.82097499,192.0
long,2025-03-15 00:00:00,13.7088,2025-03-16 20:00:00,13.4664,-966453.3835641585,-1.768207282913165,53690791.43741083,44.0
short,2025-03-16 20:00:00,13.4664,2025-03-17 08:00:00,13.808800000000002,-1365155.2744734704,-2.5426246064278604,52325636.16293736,12.0
long,2025-03-17 08:00:00,13.808800000000002,2025-03-18 08:00:00,13.4136,-1497529.9382707323,-2.8619431087422575,50828106.224666625,24.0
short,2025-03-18 08:00:00,13.4136,2025-03-19 20:00:00,13.9344,-1973465.5664255943,-3.8826265879405937,48854640.65824103,36.0
long,2025-03-19 20:00:00,13.9344,2025-03-21 04:00:00,13.543199999999999,-1371565.0064232373,-2.807440578711687,47483075.6518178,32.0
short,2025-03-21 04:00:00,13.543199999999999,2025-03-23 16:00:00,13.740000000000002,-689989.7578325577,-1.4531277689172661,46793085.89398524,60.0
long,2025-03-23 16:00:00,13.740000000000002,2025-03-28 12:00:00,14.532,2697243.3790419367,5.764192139737975,49490329.27302718,116.0
short,2025-03-28 12:00:00,14.532,2025-04-02 16:00:00,14.1128,1427631.8491090694,2.88466831819433,50917961.12213625,124.0
long,2025-04-02 16:00:00,14.1128,2025-04-03 00:00:00,13.0856,-3706063.266301399,-7.278498951306619,47211897.85583485,8.0
short,2025-04-03 00:00:00,13.0856,2025-04-05 04:00:00,13.5488,-1671192.080364884,-3.539768906278661,45540705.775469966,52.0
